execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance,consumption,device_type
11,2023-06-02 11:52:08.197469,55.0,86.7,25440,12,False,206.0,22,
10,2023-06-02 11:52:08.280889,51.9,86.7,25440,12,False,206.0,22,
10,2023-06-02 11:52:08.365344,52.6,86.7,25440,12,False,206.0,22,
19,2023-06-02 11:52:08.459092,54.1,86.7,25440,12,False,206.0,22,
10,2023-06-02 11:52:08.534043,58.2,86.7,25440,12,True,580.0,22,
33,2023-06-02 11:52:08.640498,55.3,86.7,25440,12,False,580.0,22,
23,2023-06-02 11:52:08.714713,62.4,86.7,25440,12,False,580.0,22,
10,2023-06-02 11:52:08.785709,59.1,86.7,25440,12,False,580.0,22,
10,2023-06-02 11:52:08.869427,53.0,86.7,25440,12,False,580.0,22,
19,2023-06-02 11:52:08.961485,54.1,86.7,25440,12,False,580.0,22,
10,2023-06-02 11:52:09.037316,56.3,86.7,25440,12,False,580.0,22,
19,2023-06-02 11:52:09.129387,53.4,86.7,25440,12,False,580.0,22,
12,2023-06-02 11:52:09.206949,55.4,86.7,25440,12,False,580.0,22,
10,2023-06-02 11:52:09.289002,53.7,86.7,25440,12,False,580.0,22,
10,2023-06-02 11:52:09.372874,52.7,86.6,25440,12,False,580.0,22,
10,2023-06-02 11:52:09.456719,54.5,86.6,25440,12,False,580.0,22,
10,2023-06-02 11:52:09.540348,53.0,86.6,25440,12,False,580.0,22,
16,2023-06-02 11:52:09.630258,52.5,86.6,25440,12,False,580.0,22,
11,2023-06-02 11:52:09.708501,56.9,86.6,25440,12,False,580.0,22,
10,2023-06-02 11:52:09.791738,51.5,86.6,25440,12,False,580.0,22,
10,2023-06-02 11:52:09.875972,54.0,86.6,25440,12,False,580.0,22,
10,2023-06-02 11:52:09.960465,54.5,86.7,25440,12,False,580.0,22,
10,2023-06-02 11:52:10.044841,51.9,86.7,25440,12,False,580.0,22,
18,2023-06-02 11:52:10.136911,54.4,86.7,25440,12,False,580.0,22,
13,2023-06-02 11:52:10.216734,57.8,86.7,25440,12,False,580.0,22,
10,2023-06-02 11:52:10.297714,53.1,86.7,25440,12,False,580.0,22,
10,2023-06-02 11:52:10.381517,53.7,86.7,25440,12,False,580.0,22,
10,2023-06-02 11:52:10.465405,54.5,86.7,25440,12,False,580.0,22,
10,2023-06-02 11:52:10.549191,53.4,86.7,25440,12,False,580.0,22,
17,2023-06-02 11:52:10.640100,54.8,86.7,25440,12,False,580.0,22,
12,2023-06-02 11:52:10.718838,55.3,86.7,25440,12,False,580.0,22,
10,2023-06-02 11:52:10.800145,53.4,86.7,25440,12,False,580.0,22,
10,2023-06-02 11:52:10.884491,53.4,86.7,25440,12,False,580.0,22,
11,2023-06-02 11:52:10.904409,78.1,86.7,25440,12,False,580.0,22,
12,2023-06-02 11:52:10.988612,54.8,86.7,25440,12,False,580.0,22,
11,2023-06-02 11:52:11.072330,54.4,86.7,25440,12,False,580.0,22,
12,2023-06-02 11:52:11.156584,55.9,86.7,25440,12,False,580.0,22,
12,2023-06-02 11:52:11.240672,54.1,86.7,25440,12,False,580.0,22,
11,2023-06-02 11:52:11.324251,54.1,86.7,25440,12,False,580.0,22,
11,2023-06-02 11:52:11.407915,53.3,86.7,25440,12,False,580.0,22,
11,2023-06-02 11:52:11.491717,54.2,86.7,25440,12,False,580.0,22,
11,2023-06-02 11:52:11.575161,54.1,86.7,25440,12,False,580.0,22,
11,2023-06-02 11:52:11.658824,54.5,86.7,25440,12,False,580.0,22,
11,2023-06-02 11:52:11.742335,54.1,86.7,25440,12,False,580.0,22,
11,2023-06-02 11:52:11.825659,53.7,86.7,25440,12,False,580.0,22,
11,2023-06-02 11:52:11.910427,51.9,86.7,25440,12,False,580.0,22,
12,2023-06-02 11:52:11.994380,55.2,86.7,25440,12,False,580.0,22,
11,2023-06-02 11:52:12.078018,53.4,86.7,25440,12,False,580.0,22,
11,2023-06-02 11:52:12.161647,53.4,86.7,25440,12,False,580.0,22,
